id,clubId,squadId,start,end,ActivityDate,Round,Opposition,Result,Activity_Type,Activity,Ground,Type,datasource
103,3,8,11-08-2015 00:48,11-08-2015 02:45,11-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
104,3,8,10-08-2015 17:46,10-08-2015 19:51,10-08-2015,NULL,NULL,NULL,NULL,NULL,NULL,1,0
105,3,8,03-07-2016 10:03,03-07-2016 11:36,03-07-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
106,3,8,06-07-2016 18:27,06-07-2016 20:17,06-07-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
107,3,8,08-07-2016 18:22,08-07-2016 20:41,08-07-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
108,3,8,10-07-2016 09:57,10-07-2016 12:27,10-07-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
109,3,8,13-07-2016 19:02,13-07-2016 20:25,13-07-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
110,3,8,15-07-2016 18:34,15-07-2016 19:50,15-07-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
111,3,8,17-07-2016 15:38,17-07-2016 18:09,17-07-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
112,3,8,21-07-2016 18:59,21-07-2016 20:26,21-07-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
113,3,8,23-07-2016 11:01,23-07-2016 12:45,23-07-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
114,3,8,26-07-2016 19:02,26-07-2016 20:08,26-07-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
115,3,8,28-07-2016 18:58,28-07-2016 19:58,28-07-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
116,3,8,30-07-2016 12:22,30-07-2016 12:58,30-07-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
117,3,8,31-07-2016 11:01,31-07-2016 11:21,31-07-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
118,3,8,01-08-2016 10:41,01-08-2016 11:03,01-08-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
119,3,8,04-08-2016 18:51,04-08-2016 19:49,04-08-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
120,3,8,06-08-2016 17:42,06-08-2016 19:42,06-08-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
121,3,8,09-08-2016 20:26,09-08-2016 22:32,09-08-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
122,3,8,12-08-2016 18:44,12-08-2016 20:17,12-08-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
123,3,8,14-08-2016 10:54,14-08-2016 12:28,14-08-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
124,3,8,17-08-2016 18:40,17-08-2016 20:33,17-08-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
125,3,8,20-08-2016 10:58,20-08-2016 12:52,20-08-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
126,3,8,21-08-2016 12:14,21-08-2016 13:48,21-08-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
127,3,8,24-08-2016 18:56,24-08-2016 20:27,24-08-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
128,3,8,26-08-2016 18:34,26-08-2016 19:55,26-08-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
129,3,8,28-08-2016 15:09,28-08-2016 17:08,28-08-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
130,3,8,02-09-2016 18:16,02-09-2016 20:00,02-09-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
131,3,8,04-09-2016 11:48,04-09-2016 14:38,04-09-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
132,3,8,07-09-2016 17:58,07-09-2016 20:09,07-09-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
133,3,8,09-09-2016 15:35,09-09-2016 17:14,09-09-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
134,3,8,11-09-2016 10:29,11-09-2016 12:04,11-09-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
135,3,8,14-09-2016 18:28,14-09-2016 20:30,14-09-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
136,3,8,16-09-2016 18:20,16-09-2016 20:08,16-09-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
137,3,8,18-09-2016 15:03,18-09-2016 17:10,18-09-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
138,3,8,22-09-2016 18:37,22-09-2016 20:10,22-09-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
139,3,8,24-09-2016 14:38,24-09-2016 16:24,24-09-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
140,3,8,27-09-2016 18:37,27-09-2016 20:02,27-09-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
141,3,8,29-09-2016 18:27,29-09-2016 19:50,29-09-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
142,3,8,01-10-2016 16:31,01-10-2016 19:09,01-10-2016,NULL,NULL,NULL,NULL,NULL,NULL,1,0
143,3,8,01-02-2017 18:47,01-02-2017 20:21,01-02-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
144,3,8,03-02-2017 19:11,03-02-2017 20:15,03-02-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
145,3,8,05-02-2017 13:23,05-02-2017 16:17,05-02-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
146,3,8,07-02-2017 19:39,07-02-2017 20:44,07-02-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
147,3,8,09-02-2017 19:08,09-02-2017 20:04,09-02-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
148,3,8,11-02-2017 18:41,11-02-2017 20:37,11-02-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
149,3,8,14-02-2017 18:52,14-02-2017 19:34,14-02-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
150,3,8,18-02-2017 10:22,18-02-2017 11:50,18-02-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
151,3,8,22-02-2017 18:58,22-02-2017 20:50,22-02-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
152,3,8,24-02-2017 19:12,24-02-2017 20:13,24-02-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
153,3,8,26-02-2017 13:48,26-02-2017 15:41,26-02-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
154,3,8,28-02-2017 21:13,28-02-2017 21:45,28-02-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
155,3,8,02-03-2017 19:03,02-03-2017 20:28,02-03-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
156,3,8,04-03-2017 18:42,04-03-2017 20:34,04-03-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
157,3,8,09-03-2017 19:14,09-03-2017 20:51,09-03-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
158,3,8,11-03-2017 10:58,11-03-2017 12:43,11-03-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
159,3,8,14-03-2017 19:25,14-03-2017 20:41,14-03-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
160,3,8,16-03-2017 19:01,16-03-2017 19:58,16-03-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
161,3,8,18-03-2017 17:58,18-03-2017 20:49,18-03-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
162,3,8,23-03-2017 19:03,23-03-2017 20:10,23-03-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
163,3,8,25-03-2017 18:44,25-03-2017 20:34,25-03-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
164,3,8,24-03-2017 12:08,24-03-2017 12:22,24-03-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
165,3,8,27-03-2017 21:13,27-03-2017 21:40,27-03-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
166,3,8,29-03-2017 18:47,29-03-2017 20:36,29-03-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
167,3,8,31-03-2017 18:56,31-03-2017 20:13,31-03-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
168,3,8,02-04-2017 13:17,02-04-2017 15:38,02-04-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
169,3,8,07-04-2017 18:45,07-04-2017 19:56,07-04-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
170,3,8,09-04-2017 15:46,09-04-2017 17:52,09-04-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
171,3,8,25-04-2017 20:02,25-04-2017 20:43,25-04-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
172,3,8,29-04-2017 09:12,29-04-2017 09:51,29-04-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
173,3,8,27-04-2017 19:41,27-04-2017 20:27,27-04-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
174,3,8,04-05-2017 17:58,04-05-2017 18:56,04-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
175,3,8,09-05-2017 20:13,09-05-2017 21:06,09-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
176,3,8,11-05-2017 17:37,11-05-2017 18:40,11-05-2017,NULL,NULL,NULL,NULL,NULL,NULL,1,0
